Match,FF_CLUSTER_THEME,FF_SCOPE,FF_FOCUS,FF_TOPIC,Group_name,Group_type,Topic,Catalogue_category,Sub_category,URL,Recommendation_s__output_s_,Co_chairs,Contact_email,Count
Yes,Data lifecycle,Economics,Costs,Economics of Data,Data Economics IG,IG,na,na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-economics-ig,,"Yuri Demchenko, Jane Greenberg",data-economics-ig@rda-groups.org,1
Yes,Data lifecycle,Economics,Costs,Economics of Data,Social Dynamics of Data Interoperability IG,IG,"Policy, legal, global infrastructure ",na,Data discoverability and accessibility,https://www.rd-alliance.org/groups/social-dynamics-data-interoperability-ig,,"Kheeran Dharmawardena, Kristal Spreadborough",rda-social-dynamics-data-interoperability@rda-groups.org,1
Yes,Skills,Policy alignment,Incentives,educational means for all levels of carrer,CODATA/RDA Research Data Science Schools for Low and Middle Income Countries,IG,RDM support and education ,na,RDM support ,https://www.rd-alliance.org/groups/codatarda-research-data-science-schools-low-and-middle-income-countries,,"Hugh Shanahan, Bianca Peterson, Raphael Cóbe, Sara El jadid",rda-codata-schools@rda-groups.org,1
Yes,Skills,Policy alignment,Incentives,educational means for all levels of carrer,Education and Training on Handling of Research Data IG,IG,RDM support and education ,Data management ,"RDM support, open education ",https://www.rd-alliance.org/groups/education-and-training-handling-research-data.html,"Core Characteristics of Learning Resource Collectors
https://www.rd-alliance.org/group/education-and-training-handling-research-data-ig/outcomes/core-characteristics-learning 

Recommendations for a minimal metadata set to aid harmonised discovery of learning resources
https://www.rd-alliance.org/group/education-and-training-handling-research-data-ig/outcomes/recommendations-minimal-metadata-set ","Laura Molloy, Katarzyna Biernacka, Amy Nurnberger",rda-edu-ig@rda-groups.org,1
Yes,Skills,Policy alignment,Incentives,educational means for all levels of carrer,RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World WG,WG,RDM support and education ,"Dissemination, Linking and Findability, 
Policy, Legal Compliance, and Capacity ",RDM support ,https://www.rd-alliance.org/groups/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world.html,"CODATA/RDA Summer School in Data Science and Cloud Computing in the Developing World WG Recommendations
https://www.rd-alliance.org/group/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world-wg/outcomes 

A curriculum for foundational Research Data Science skills for Early Career Researchers
https://www.rd-alliance.org/group/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world-wg/outcomes-0 ","Andrew Harrison, Simon Hodson, Robert Quick, Hugh Shanahan",,1
Yes,Skills,Policy alignment,Incentives,educational means for all levels of carrer,Skills and training curriculums to support FAIR research software IG,IG,"FAIR software, RDM support and education",na,RDM support,https://www.rd-alliance.org/groups/skills-and-training-curriculums-support-fair-research-software-ig,,"Michelle Barker, Hugh Shanahan",fair4rskills@rda-groups.org,1
Yes,Data lifecycle,Policy alignment,impact,Equity,CODATA/RDA Research Data Science Schools for Low and Middle Income Countries,IG,RDM support and education ,na,RDM support ,https://www.rd-alliance.org/groups/codatarda-research-data-science-schools-low-and-middle-income-countries,,"Hugh Shanahan, Bianca Peterson, Raphael Cóbe, Sara El jadid",rda-codata-schools@rda-groups.org,1
Yes,Data lifecycle,Policy alignment,impact,Equity,Education and Training on Handling of Research Data IG,IG,RDM support and education ,Data management ,"RDM support, open education ",https://www.rd-alliance.org/groups/education-and-training-handling-research-data.html,"Core Characteristics of Learning Resource Collectors
https://www.rd-alliance.org/group/education-and-training-handling-research-data-ig/outcomes/core-characteristics-learning 

Recommendations for a minimal metadata set to aid harmonised discovery of learning resources
https://www.rd-alliance.org/group/education-and-training-handling-research-data-ig/outcomes/recommendations-minimal-metadata-set ","Laura Molloy, Katarzyna Biernacka, Amy Nurnberger",rda-edu-ig@rda-groups.org,1
Yes,Data lifecycle,Policy alignment,impact,Equity,RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World WG,WG,RDM support and education ,"Dissemination, Linking and Findability, 
Policy, Legal Compliance, and Capacity ",RDM support ,https://www.rd-alliance.org/groups/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world.html,"CODATA/RDA Summer School in Data Science and Cloud Computing in the Developing World WG Recommendations
https://www.rd-alliance.org/group/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world-wg/outcomes 

A curriculum for foundational Research Data Science skills for Early Career Researchers
https://www.rd-alliance.org/group/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world-wg/outcomes-0 ","Andrew Harrison, Simon Hodson, Robert Quick, Hugh Shanahan",,1
Yes,Data lifecycle,Policy alignment,impact,Equity,Skills and training curriculums to support FAIR research software IG,IG,"FAIR software, RDM support and education",na,RDM support,https://www.rd-alliance.org/groups/skills-and-training-curriculums-support-fair-research-software-ig,,"Michelle Barker, Hugh Shanahan",fair4rskills@rda-groups.org,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Policy alignment,Legal,FAIR and IP,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Collaboration,FAIR data commons,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Implementation,Collaboration,FAIR Research Data,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
Yes,Open Science / Open Research Commons,Policy alignment,Incentives,Funder incentives to open research data management practices,Libraries for Research Data IG,IG,RDM support and education ,Data management ,RDM support ,https://www.rd-alliance.org/groups/libraries-research-data.html,"23 Things: Libraries for Research Data (Supporting Output)
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/23-things-libraries-research-data-supporting-output 

Engaging Researchers with Data Management: The Cookbook
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/engaging-researchers-data-management-cookbook 

Top 10 FAIR Data & Software Things
https://www.rd-alliance.org/group/libraries-research-data-ig/outcomes/top-10-fair-data-software-things","Birgit Schmidt, Andrea Ogier, Christopher Erdmann, Naresh Kumar, Su Nee Goh, Stanislaus Agava",rda-libresearchdata@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Incentives,Funder incentives to open research data management practices,Research Data Management in Engineering IG,IG,Disciplinary: Materials science and engineering,na,Discipline-specific ,https://www.rd-alliance.org/groups/research-data-management-engineering-ig,,"Daniela Hausen, Gretchen Greene, Kevin Logan",rdmeng@rda-groups.org,1
Yes,Data lifecycle,Policy alignment,Requirements,Funder's requirements with respect to 'sensitive' data (whether personnal information or strategic data),Sensitive Data Interest Group,IG,Information security ,Information security ,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/sensitive-data-interest-group,,"Kristal Spreadborough, Priyanka Pillai, Aleksandra Michalewicz, Nichola Burton, Steven McEachern, Romain DAVID, Dharma Akmon, Kristan Kang, Sarah Davidson, Frankie Stevens",sensitivedata@rda-groups.org,1
Yes,Data lifecycle,Policy alignment,Requirements,Funder's requirements with respect to 'sensitive' data (whether personnal information or strategic data),Social Science Research Data IG,IG,Disciplinary: Social science,na,Discipline-specific,https://www.rd-alliance.org/groups/social-science-research-data-ig,,"Ron Dekker, Jonathan Crabtree, Steven McEachern",sshrd@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Sustainability,Funding shared infrastructure,Data Repository Attributes WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/data-repository-attributes-wg,,"Michael Witt, Kathleen Shearer, Allyson Lister, Matthew Cannon, Washington Luís Ribeiro de Segundo, Kazu Yamaji",,1
Yes,Open Science / Open Research Commons,Policy alignment,Sustainability,Funding shared infrastructure,Repository Platforms for Research Data IG,IG,"Technical infrastructure, analysis, storage and preservation ","Data management, Data collection, Data description, 
Identification, storage and preservation,
Dissemination, Linking and Findability
Policy, Legal Compliance, and Capacity
Computational infrastructures",Data storage and preservation,https://www.rd-alliance.org/groups/repository-platforms-research-data.html,"Matrix of use cases and functional requirements for research data repository platforms
https://www.rd-alliance.org/group/repository-platforms-research-data-ig/outcomes/matrix-use-cases-and-functional-requirements ","Robert Downs, LILi Zhang, Devan Ray Donaldson",rda-repoplatforms-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Sustainability,"High-level international/inter-governmental (like G7 etc.) policy related to open science, FAIR data sharing and data infrastructure",Data for Development IG,IG,Open and responsible research ,"Data management, open and responsible research",Interdisciplinary data ,https://www.rd-alliance.org/groups/data-development.html,,"Ingvill Constanze Mochmann, Norman Mukasa, Robert Sentamu, Mahadia Tunga, Agapiti Manday",rda-datadev-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Sustainability,"High-level international/inter-governmental (like G7 etc.) policy related to open science, FAIR data sharing and data infrastructure",Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Research Assessment,Policy alignment,impact,impact assessment of data sharing (towards evaluation),Sharing Rewards and Credit (SHARC) IG,IG,"Impact, metrics and credit","Data management, open and responsible research",RDM support ,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig,,"Anne Cambon-Thomsen, Laurence Mabile, Anne-Marie Tassé, Romain DAVID, Christopher Erdmann, Hanna Shmagun",sharc-ig@rda-groups.org,1
Yes,Research Assessment,Policy alignment,impact,Incentive system,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Sustainability,Innovation policy making SDGs,Data policy standardisation and implementation IG,IG,"Policy, legal, global infrastructure ","Policy, legal, compliance, capacity","Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig,,"Iain Hrynaszkiewicz, Natasha Simons, Simon Goudie, Azhar Hussain, Rebecca Grant",rda-data-policy-standardisation-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Sustainability,Institutional Repositories,Data Repository Attributes WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/data-repository-attributes-wg,,"Michael Witt, Kathleen Shearer, Allyson Lister, Matthew Cannon, Washington Luís Ribeiro de Segundo, Kazu Yamaji",,1
Yes,Open Science / Open Research Commons,Implementation,Sustainability,Institutional Repositories,Domain Repositories IG,IG,"Technical infrastructure, analysis, storage and preservation ",Computational infrastructures,Data storage and preservation ,https://www.rd-alliance.org/groups/domain-repositories-ig.html,,"Kerstin Lehnert, Peter Doorn",domain-repositories-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,Sustainability,Institutional Repositories,Repository Platforms for Research Data IG,IG,"Technical infrastructure, analysis, storage and preservation ","Data management, Data collection, Data description, 
Identification, storage and preservation,
Dissemination, Linking and Findability
Policy, Legal Compliance, and Capacity
Computational infrastructures",Data storage and preservation,https://www.rd-alliance.org/groups/repository-platforms-research-data.html,"Matrix of use cases and functional requirements for research data repository platforms
https://www.rd-alliance.org/group/repository-platforms-research-data-ig/outcomes/matrix-use-cases-and-functional-requirements ","Robert Downs, LILi Zhang, Devan Ray Donaldson",rda-repoplatforms-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Implementation,impact,Integrating the preprint and open data infrastructures,Data Repository Attributes WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/data-repository-attributes-wg,,"Michael Witt, Kathleen Shearer, Allyson Lister, Matthew Cannon, Washington Luís Ribeiro de Segundo, Kazu Yamaji",,1
Yes,Open Science / Open Research Commons,Implementation,impact,Integrating the preprint and open data infrastructures,Domain Repositories IG,IG,"Technical infrastructure, analysis, storage and preservation ",Computational infrastructures,Data storage and preservation ,https://www.rd-alliance.org/groups/domain-repositories-ig.html,,"Kerstin Lehnert, Peter Doorn",domain-repositories-ig@rda-groups.org,1
Yes,Open Science / Open Research Commons,Policy alignment,Collaboration,International collaborations,Data for Development IG,IG,Open and responsible research ,"Data management, open and responsible research",Interdisciplinary data ,https://www.rd-alliance.org/groups/data-development.html,,"Ingvill Constanze Mochmann, Norman Mukasa, Robert Sentamu, Mahadia Tunga, Agapiti Manday",rda-datadev-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,Interoperable Data,Metadata IG,IG,Identification and description: Metadata,"Data management, Data collection, Data description,
Identification, storage and preservation,
Dissemination, Linking and Findability
Policy, Legal Compliance, and Capacity
","Data discoverability and accessibility
Computational infrastructures",https://www.rd-alliance.org/groups/metadata-ig.html,"Metadata Principles
https://www.rd-alliance.org/group/metadata-ig/outcomes/metadata-principles ","Keith Jeffery, Rebecca Koskela, Alex Ball",rda-metadata-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,impact,Interoperable Data,Metadata Standards Catalog WG,WG,Identification and description: Metadata,"Data management, Data description",Data discoverability and accessibility,https://www.rd-alliance.org/groups/metadata-standards-catalog-working-group.html,,"Rebecca Koskela, Keith Jeffery, Alex Ball",,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,CURE-FAIR WG,WG,FAIR data ,Data management,FAIR data ,https://www.rd-alliance.org/groups/cure-fair-wg,"10 Things for Curating Reproducible and FAIR Research

Challenges of Curating for Reproducible and FAIR Research Output 
https://www.rd-alliance.org/group/cure-fair-wg/outcomes/challenges-curating-reproducible-and-fair-research-output ","Limor Peer, Florio Arguillas, Thu-Mai Christian, Tom Honeyman, Mandy Gooch",,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,FAIR Data Maturity Model WG,WG,FAIR data,"Data management, 
Dissemination, Linking and Findability",FAIR data ,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg,"FAIR Data Maturity Model: specification and guidelines
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/fair-data-maturity-model-specification-and-guidelines-0

Member survey on bridging the gap between funders and communities – perspectives on benefits and challenges of FAIR assessments V2.0
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/member-survey-bridging-gap-between-funders-and 

Results of an Analysis of Existing FAIR Assessment Tools
https://www.rd-alliance.org/group/fair-data-maturity-model-wg/outcomes/results-analysis-existing-fair-assessment-tools ","Edit Herczog, Keith Russell, Shelley Stall",,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,FAIR Digital Object Fabric IG,IG,FAIR data ,na,Data management planning,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html,"Summary of Virtual Layer Recommendations
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/summary-virtual-layer-recommendations 

Persistent identifiers: Consolidated assertions
https://www.rd-alliance.org/group/fair-digital-object-fabric-ig/outcomes/persistent-identifiers-consolidated-assertions ","Xin Chen, Rainer Stotzka, Robert Quick, Maggie Hellström",rda-fair-do-fabric-ig@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,FAIR for Research Software (FAIR4RS) WG,WG,FAIR software,"Data management
Policy, Legal Compliance, and Capacity 
Computational infrastructures",FAIR software ,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg,"FAIR Principles for Research Software (FAIR4RS Principles)
https://www.rd-alliance.org/group/fair-research-software-fair4rs-wg/outcomes/fair-principles-research-software-fair4rs-0 ","Michelle Barker, Paula Andrea Martinez, Leyla Garcia, Daniel S. Katz, Neil Chue Hong, Jennifer Harrow, Fotis Psomopoulos, Carlos Martinez-Ortiz, Morane Gruenpeter",,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,FAIR for Virtual Research Environments WG,WG,"Technical infrastructure, analysis, storage and preservation ",na,na,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg,,"Kerry Levett, Sandra Gesing, Kheeran Dharmawardena, Leyla Garcia",,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,FAIR Principles for Research Hardware,IG,Non-digital (samples and hardware),na,Open Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware,,"Nadica Miljkovi?, Julien Colomb",fair4rh@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,GO FAIR Liaison IG,IG,"Policy, legal, global infrastructure ",na,"Policy, legal, compliance, capacity",https://www.rd-alliance.org/groups/go-fair-liaison-ig,,"Luiz Olavo Bonino da Silva Santos, Erik Schultes",gofair@rda-groups.org,1
Yes,FAIR,Policy alignment,Incentives,introducing FAIR practices as early as possible in funding process,Raising FAIRness in health data and health research performing organisations (HRPOs) WG,WG,Health research ,na,na,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg,,"Shanmugasundaram Venkataraman, Celia Alvarez-Romero, Kristan Kang, Anupama Gururaj",,1
